,0
0,nospam
1,nospam
2,nospam
3,nospam
4,nospam
5,nospam
6,nospam
7,nospam
8,nospam
9,nospam
10,nospam
11,nospam
12,nospam
13,nospam
14,nospam
15,nospam
16,nospam
17,nospam
18,nospam
19,nospam
20,nospam
21,nospam
22,nospam
23,nospam
24,nospam
25,nospam
26,nospam
27,nospam
28,nospam
29,nospam
30,nospam
31,nospam
32,nospam
33,nospam
34,nospam
35,spam
36,nospam
37,nospam
38,nospam
39,nospam
40,nospam
41,nospam
42,nospam
43,spam
44,nospam
45,spam
46,spam
47,spam
48,spam
49,spam
50,nospam
51,nospam
52,spam
53,nospam
54,spam
55,nospam
56,nospam
57,nospam
58,nospam
59,nospam
60,nospam
61,spam
62,nospam
63,nospam
64,nospam
65,nospam
66,nospam
67,nospam
68,spam
69,spam
70,spam
71,spam
72,nospam
73,nospam
74,nospam
75,nospam
76,nospam
77,nospam
